Subject,Condition,Time_point,Value
1,1,401,3.20514373481274
1,1,402,3.12657705321908
1,1,403,3.07465163245797
1,1,404,3.05634054169059
1,1,405,3.07520702853799
1,1,406,3.13094123825431
1,1,407,3.21932901162654
1,1,408,3.3326832636958
1,1,409,3.46068111993372
1,1,410,3.59150565043092
1,1,411,3.71315557509661
1,1,412,3.81478583067656
1,1,413,3.88789483159781
1,1,414,3.92724221199751
1,1,415,3.93138006329536
1,1,416,3.90272371470928
1,1,417,3.84718278795481
1,1,418,3.77338821440935
1,1,419,3.69161755591631
1,1,420,3.61253514140844
1,1,421,3.54592386633158
1,1,422,3.49954177439213
1,1,423,3.47825336456299
1,1,424,3.48352278023958
1,1,425,3.51332740485668
1,1,426,3.56249789893627
1,1,427,3.62342961132526
1,1,428,3.68708704411983
1,1,429,3.74414259195328
1,1,430,3.78614541888237
1,1,431,3.80654683709145
1,1,432,3.80148163437843
1,1,433,3.77018931508064
1,1,434,3.71506726741791
1,1,435,3.64131766557693
1,1,436,3.55628171563148
1,1,437,3.46850749850273
1,1,438,3.38670375943184
1,1,439,3.31868943572044
1,1,440,3.27047947049141
1,1,441,3.24560534954071
1,1,442,3.24476525187492
1,1,443,3.26581168174744
1,1,444,3.30409294366837
1,1,445,3.3530789911747
1,1,446,3.4051970243454
1,1,447,3.45277011394501
1,1,448,3.4889310002327
1,1,449,3.50840643048286
1,1,450,3.50807499885559
1,1,451,3.48723787069321
1,2,401,2.41066436469555
1,2,402,2.44325938820839
1,2,403,2.46901962906122
1,2,404,2.49071047455072
1,2,405,2.51209343969822
1,2,406,2.53734356537461
1,2,407,2.5704198461026
1,2,408,2.61448403354734
1,2,409,2.67143702507019
1,2,410,2.74161108583212
1,2,411,2.82366241514683
1,2,412,2.91466112434864
1,2,413,3.01036084443331
1,2,414,3.10561493039131
1,2,415,3.19489688798785
1,2,416,3.27284999936819
1,2,417,3.3348131403327
1,2,418,3.37726730760187
1,2,419,3.39815533487126
1,2,420,3.3970608448144
1,2,421,3.37522134045139
1,2,422,3.3353858855553
1,2,423,3.28154540527612
1,2,424,3.21855679526925
1,2,425,3.15171749517322
1,2,426,3.08631479367614
1,2,427,3.02721293643117
1,2,428,2.9784870762378
1,2,429,2.94315903447568
1,2,430,2.92301398143172
1,2,431,2.91854181326926
1,2,432,2.92897475790232
1,2,433,2.95242048893124
1,2,434,2.98605302814394
1,2,435,3.02636657096446
