Subject,Condition,Time_point,Value
1,1,401,3.12970387935638
1,1,402,3.03639897704124
1,1,403,2.9606054648757
1,1,404,2.9094283208251
1,1,405,2.88758390396833
1,1,406,2.89696856588125
1,1,407,2.93655259907246
1,1,408,3.00261278823018
1,1,409,3.08925262093544
1,1,410,3.18914189189672
1,1,411,3.29439213871956
1,1,412,3.39744231104851
1,1,413,3.49184359610081
1,1,414,3.57287403941154
1,1,415,3.63789044320583
1,1,416,3.68639245629311
1,1,417,3.71981459856033
1,1,418,3.74106386303902
1,1,419,3.75389929115772
1,1,420,3.76221907138824
1,1,421,3.76936820149422
1,1,422,3.77755783498287
1,1,423,3.78747095167637
1,1,424,3.79810479283333
1,1,425,3.80687093734741
1,1,426,3.8099363297224
1,1,427,3.80275563895702
1,1,428,3.78072300553322
1,1,429,3.73985862731934
1,1,430,3.67744097113609
1,1,431,3.59249013662338
1,1,432,3.48605647683144
1,1,433,3.36126083135605
1,1,434,3.22309827804565
1,1,435,3.07799607515335
1,1,436,2.93321749567986
1,1,437,2.79615476727486
1,1,438,2.67361152172089
1,1,439,2.57115112245083
1,1,440,2.49259439110756
1,1,441,2.43968339264393
1,1,442,2.41200277209282
1,1,443,2.40712828934193
1,1,444,2.42097136378288
1,1,445,2.44828572869301
1,1,446,2.48326370120049
1,1,447,2.52015492320061
1,1,448,2.55383029580116
1,1,449,2.58022662997246
1,1,450,2.59663569927216
1,1,451,2.60181403160095
1,2,401,2.41066436469555
1,2,402,2.44325938820839
1,2,403,2.46901962906122
1,2,404,2.49071047455072
1,2,405,2.51209343969822
1,2,406,2.53734356537461
1,2,407,2.5704198461026
1,2,408,2.61448403354734
1,2,409,2.67143702507019
1,2,410,2.74161108583212
1,2,411,2.82366241514683
1,2,412,2.91466112434864
1,2,413,3.01036084443331
1,2,414,3.10561493039131
1,2,415,3.19489688798785
1,2,416,3.27284999936819
1,2,417,3.3348131403327
1,2,418,3.37726730760187
1,2,419,3.39815533487126
1,2,420,3.3970608448144
1,2,421,3.37522134045139
1,2,422,3.3353858855553
1,2,423,3.28154540527612
1,2,424,3.21855679526925
1,2,425,3.15171749517322
1,2,426,3.08631479367614
1,2,427,3.02721293643117
1,2,428,2.9784870762378
1,2,429,2.94315903447568
1,2,430,2.92301398143172
1,2,431,2.91854181326926
1,2,432,2.92897475790232
1,2,433,2.95242048893124
1,2,434,2.98605302814394
1,2,435,3.02636657096446
1,2,436,3.06945463083684
1,2,437,3.11129845678806
1,2,438,3.14803621545434
1,2,439,3.17621845752001
1,2,440,3.1930176615715
1,2,441,3.19640156626701
1,2,442,3.18522794544697
1,2,443,3.15930149704218
1,2,444,3.11934852600098
1,2,445,3.06695382297039
1,2,446,3.00441147387028
1,2,447,2.93454680591822
1,2,448,2.86050590127707
1,2,449,2.7854989990592
1,2,450,2.71253930032253
1,2,451,2.64421185851097
1,3,401,2.33656038716435
1,3,402,2.37438314780593
1,3,403,2.42934367060661
1,3,404,2.49928534775972
1,3,405,2.58043924719095
1,3,406,2.66780012845993
1,3,407,2.75566586107016
1,3,408,2.83828119188547
1,3,409,2.91049411147833
1,3,410,2.9683455452323
1,3,411,3.00951550155878
1,3,412,3.03355722874403
1,3,413,3.04191416874528
1,3,414,3.03770218044519
1,3,415,3.0252735982649
1,3,416,3.0096281375736
1,3,417,2.99576397240162
1,3,418,2.98803694546223
1,3,419,2.98959384858608
1,3,420,3.00197897851467
1,3,421,3.02494758367538
1,3,422,3.05651630461216
1,3,423,3.0932330340147
1,3,424,3.13063381612301
1,3,425,3.16384248435497
1,3,426,3.18822404742241
1,3,427,3.19999979436398
1,3,428,3.1967535763979
1,3,429,3.17778079211712
1,3,430,3.14421331882477
1,3,431,3.09893184900284
1,3,432,3.04624870419502
1,3,433,2.99142149090767
1,3,434,2.94004760682583
1,3,435,2.89743027091026
1,3,436,2.86794759333134
1,3,437,2.8545690625906
1,3,438,2.8585075289011
1,3,439,2.87908327579498
1,3,440,2.91379995644093
1,3,441,2.95863345265388
1,3,442,3.00846391916275
1,3,443,3.05763481557369
1,3,444,3.10055224597454
1,3,445,3.13224749267101
1,3,446,3.14886625111103
1,3,447,3.14801351726055
1,3,448,3.12892033159733
1,3,449,3.09244605898857
1,3,450,3.04090020060539
1,3,451,2.9777238368988
1,4,401,2.43615544214845
1,4,402,2.45016643032432
1,4,403,2.45157900452614
1,4,404,2.43956391513348
1,4,405,2.41500657051802
1,4,406,2.38033282011747
1,4,407,2.33919538557529
1,4,408,2.29603658616543
1,4,409,2.25559551268816
1,4,410,2.22239710390568
1,4,411,2.20029120147228
1,4,412,2.19206768088043
1,4,413,2.19919500872493
1,4,414,2.22170728445053
1,4,415,2.25822953134775
1,4,416,2.30613270401955
1,4,417,2.36181326210499
1,4,418,2.42105375230312
1,4,419,2.47940523922443
1,4,420,2.53257977962494
1,4,421,2.57678614556789
1,4,422,2.60901218652725
1,4,423,2.62718331813812
1,4,424,2.63022935390472
1,4,425,2.61804051697254
1,4,426,2.59133990108967
1,4,427,2.55148531496525
1,4,428,2.50022660195827
1,4,429,2.43946979939938
1,4,430,2.3710548132658
1,4,431,2.29657125473022
1,4,432,2.21724638342857
1,4,433,2.13388754427433
1,4,434,2.04691159725189
1,4,435,1.9564069211483
1,4,436,1.8622535020113
1,4,437,1.76424443721771
1,4,438,1.6622219234705
1,4,439,1.55618374049664
1,4,440,1.44635620713234
1,4,441,1.3332327529788
1,4,442,1.21756114531308
1,4,443,1.10031602904201
1,4,444,0.982635710388422
1,4,445,0.865755574777722
1,4,446,0.750955902971327
1,4,447,0.639516077935696
1,4,448,0.532702988013625
1,4,449,0.431786973029375
1,4,450,0.338084597140551
1,4,451,0.252991519868374
2,1,401,6.4844691157341
2,1,402,6.6713809967041
2,1,403,6.84180265665054
2,1,404,6.99621176719666
2,1,405,7.13615751266479
2,1,406,7.26391315460205
2,1,407,7.38207197189331
2,1,408,7.49314177036285
2,1,409,7.59916830062866
2,1,410,7.7014262676239
2,1,411,7.80025923252106
2,1,412,7.8950343132019
2,1,413,7.98424637317657
2,1,414,8.06573784351349
2,1,415,8.13698244094849
2,1,416,8.1954505443573
2,1,417,8.23894715309143
2,1,418,8.26592624187469
2,1,419,8.27568829059601
2,1,420,8.26851487159729
2,1,421,8.24562990665436
2,1,422,8.20909959077835
2,1,423,8.16161370277405
2,1,424,8.10619151592255
2,1,425,8.04589307308197
2,1,426,7.98350638151169
2,1,427,7.92130208015442
2,1,428,7.86082941293716
2,1,429,7.80281692743301
2,1,430,7.74716705083847
2,1,431,7.69298648834229
2,1,432,7.63875436782837
2,1,433,7.58245867490768
2,1,434,7.52181857824326
2,1,435,7.45448017120361
2,1,436,7.37820267677307
2,1,437,7.29104048013687
2,1,438,7.19147849082947
2,1,439,7.07855308055878
2,1,440,6.95195055007935
2,1,441,6.81208574771881
2,1,442,6.66014420986176
2,1,443,6.49815738201141
2,1,444,6.32900142669678
2,1,445,6.15638697147369
2,1,446,5.98477786779404
2,1,447,5.81925237178802
2,1,448,5.66531091928482
2,1,449,5.52853238582611
2,1,450,5.41422557830811
2,1,451,5.32695898413658
2,2,401,5.91268330812454
2,2,402,6.02718663215637
2,2,403,6.17664009332657
2,2,404,6.35799497365952
2,2,405,6.56487554311752
2,2,406,6.78816747665405
2,2,407,7.01689207553864
2,2,408,7.23930740356445
2,2,409,7.44405734539032
2,2,410,7.62131607532501
2,2,411,7.76372396945953
2,2,412,7.86708307266235
2,2,413,7.93068361282349
2,2,414,7.95730471611023
2,2,415,7.95279514789581
2,2,416,7.92539930343628
2,2,417,7.88480865955353
2,2,418,7.84112358093262
2,2,419,7.80378675460815
2,2,420,7.78062784671783
2,2,421,7.77713418006897
2,2,422,7.79596984386444
2,2,423,7.8368079662323
2,2,424,7.89652943611145
2,2,425,7.96963036060333
2,2,426,8.04893016815186
2,2,427,8.12637555599213
2,2,428,8.19390797615051
2,2,429,8.24428880214691
2,2,430,8.27176916599274
2,2,431,8.27260065078735
2,2,432,8.2452734708786
2,2,433,8.19053840637207
2,2,434,8.11118102073669
2,2,435,8.01161861419678
2,2,436,7.8973650932312
2,2,437,7.77445948123932
2,2,438,7.64883959293365
2,2,439,7.52587831020355
2,2,440,7.40993809700012
2,2,441,7.3041410446167
2,2,442,7.21026992797852
2,2,443,7.12882483005524
2,2,444,7.05919349193573
2,2,445,6.99991345405579
2,2,446,6.94899934530258
2,2,447,6.90423220396042
2,2,448,6.86345398426056
